participant_id,frequency,x_drift,y_drift,total_drift,x1,y1,x3,y3
P_20251211_080247,200,-0.2326732673267327,0.21287128712871284,0.31535858036897,0.25,0.7601717202970297,0.0173267326732673,0.9730430074257426
P_20251211_080247,4000,-0.45544554455445546,-0.007425742574257502,0.4555060764767948,0.7351485148514851,0.079478650990099,0.2797029702970297,0.0720529084158415
P_20251211_080247,1000,0.3811881188118812,0.16089108910891092,0.4137515250461228,0.4900990099009901,0.4557162747524752,0.8712871287128713,0.6166073638613861
P_20251211_104347,200,-0.00990099009900991,-0.11633663366336633,0.11675719222842332,0.4876237623762376,0.7636138613861386,0.4777227722772277,0.6472772277227723
P_20251211_104347,1000,-0.007425742574257377,0.07920792079207922,0.07955524099004059,0.4826732673267326,0.3774752475247525,0.4752475247524752,0.4566831683168317
P_20251211_104347,4000,-0.009900990099009965,0.00990099009900991,0.014002114478941586,0.4801980198019802,0.2363861386138613,0.4702970297029702,0.2462871287128712
P_20251211_172427,4000,0.20585316837089274,0.06200396637677488,0.21498841544322184,0.4702380204507125,0.1006944186893518,0.6760911888216052,0.1626983850661267
P_20251211_172427,200,0.23313491357667376,0.071924600997059,0.2439775320741426,0.1478173952914829,0.8571428084860058,0.3809523088681567,0.9290674094830648
P_20251211_172427,1000,0.012400793275354927,0.26289681743752563,0.26318912647113246,0.6562499195810373,0.2767856831993925,0.6686507128563922,0.5396825006369181
P_20251211_192845,200,0.0,0.0,0.0,0.5099009900990099,0.8477722772277227,0.5099009900990099,0.8477722772277227
P_20251211_192845,1000,-0.1460396039603961,0.2153465346534654,0.26019549556471094,0.6386138613861386,0.2413366336633663,0.4925742574257425,0.4566831683168317
P_20251211_192845,4000,-0.004950495049504955,0.012376237623762299,0.013329615859243752,0.9678217821782178,0.0136138613861386,0.9628712871287128,0.0259900990099009
P_20251212_220245,1000,0.47123014446348943,-0.2901785626433066,0.5534089331306611,0.0387318917310232,0.7281745962665317,0.5099620361945126,0.4379960336232251
P_20251212_220245,4000,-0.3025793559186617,-0.12152777409847881,0.3260724865815622,0.7927001228726063,0.3462301633855982,0.4901207669539446,0.2247023892871194
P_20251212_220245,200,0.1562499952694727,-0.09424602889269784,0.1824729431552894,0.3239501370641879,0.9464285579127794,0.4802001323336606,0.8521825290200815
P_20251213_094736,200,0.06692634271610498,0.03718130150894716,0.07656098569932844,0.8328832423014766,0.8382391364666931,0.8998095850175816,0.8754204379756403
P_20251213_094736,1000,-0.06692634271610501,0.04709631524466651,0.0818364115719803,0.1338747739332691,0.7985790815238161,0.0669484312171641,0.8456753967684826
P_20251213_094736,4000,0.07932010988575411,-0.047096315244666495,0.09224826687755772,0.8279257354336169,0.134273161230626,0.907245845319371,0.0871768459859595
P_20251213_095146,4000,0.1685552335072274,-0.08427761675361367,0.18845048004275536,0.1239597601975498,0.4366810801700633,0.2925149937047772,0.3524034634164496
P_20251213_095146,200,-0.2230878090536832,-0.13633143886613974,0.2614468048603475,0.480900254683443,0.8109728486934652,0.2578124456297598,0.6746414098273255
P_20251213_095146,1000,0.1586402197715081,-0.07436260301789444,0.1752042124400819,0.1933648563475846,0.5507037381308347,0.3520050761190927,0.4763411351129403
P_20251213_095411,200,-0.007436260301789399,-0.019830027471438805,0.021178478623215282,0.0867784586886026,0.9720918218989032,0.0793421983868132,0.9522617944274644
P_20251213_095411,1000,-0.11402265796077138,0.05453257554645591,0.1263921212899324,0.7932231873585995,0.1070068734573981,0.6792005293978282,0.161539449003854
P_20251213_095411,4000,0.09419263048933291,-0.007436260301789401,0.09448571111959721,0.6073166798138635,0.0152929964019949,0.7015093103031964,0.0078567361002055
P_20251213_095625,200,0.0,0.0,0.0,0.9394696399604584,0.9423467806917452,0.9394696399604584,0.9423467806917452
P_20251213_095625,4000,0.05453257554645585,0.0570113289803857,0.07889292381348077,0.52056030962632,0.0599105582127316,0.5750928851727759,0.1169218871931173
P_20251213_095625,1000,-0.1140226579607716,0.08179886331968389,0.14032897266363578,0.9171608590550904,0.3945422717932564,0.8031382010943188,0.4763411351129403
P_20251213_095816,4000,0.0,0.0,0.0,0.7585206392835822,0.1243581474949067,0.7585206392835822,0.1243581474949067
P_20251213_095816,200,0.0,0.0,0.0,0.5099009900990099,0.8477722772277227,0.5099009900990099,0.8477722772277227
P_20251213_095816,1000,0.0,0.0,0.0,0.453633966910215,0.4441173404718527,0.453633966910215,0.4441173404718527
P_20251213_100006,4000,-0.3024079189394372,0.0099150137357193,0.30257041648955163,0.4709852409477237,0.0103354895341353,0.1685773220082865,0.0202505032698546
P_20251213_100006,200,-0.14624645260185903,-0.07188384958396465,0.162958009099393,0.5403903370977585,0.8605479173720615,0.3941438844958995,0.7886640677880968
P_20251213_100006,1000,-0.3742917685234019,-0.06196883584824539,0.3793869589228953,0.6395404744549511,0.2557320794931869,0.2652487059315492,0.1937632436449415
P_20251213_100320,1000,0.0,0.0,0.0,0.5255178164941797,0.4465960939057825,0.5255178164941797,0.4465960939057825
P_20251213_100320,4000,0.009915013735719236,-0.004957506867859601,0.011085322355456164,0.949384653696178,0.0301655170055738,0.9592996674318972,0.0252080101377142
P_20251213_100320,200,0.5304532348609802,-0.04957506867859618,0.5327647903239907,0.1834498426118654,0.9894430959364118,0.7139030774728455,0.9398680272578156
P_20251213_100504,200,0.3966005494287702,-0.019830027471438805,0.39709599065807805,0.0867784586886026,0.9720918218989032,0.4833790081173728,0.9522617944274644
